Feature,Id,X,Y
A,1,49.812625209304514,59567.58247899454
A,2,23058.157809713175,4897.683186008892
A,3,9013.68354504139,22936.79750537872
A,4,24023.06826651606,13809.943961898385
A,5,2073.3141012445653,52910.72902044488
A,6,35369.82060320419,33463.83555384215
A,7,21522.031550450414,23507.84566768516
A,8,1562.7351738290085,169.02471600630963
A,9,28982.36852208183,54563.80341796313
A,10,44908.65485632069,59644.42501569664
A,11,27385.625003570778,8503.173930801824
A,12,13463.11231898714,38228.43536644209
A,13,7494.331638257643,53950.066277235834
A,14,14588.728319856016,17249.77544191699
A,15,57450.886083644924,34109.1600178567
A,16,41662.77374628643,49926.01087548762
A,17,48581.74994152473,16188.518368965748
A,18,17114.43376593028,56934.154515326714
A,19,42307.652901619615,8350.379387542369
A,20,37530.924521962195,35450.1113522405
A,21,51506.373042107516,32765.969207034086
A,22,16005.174939132588,56981.052968823504
A,23,35045.73952131211,57315.2559836838
A,24,13206.412853549471,11717.16618637758
A,25,26450.600547946982,34312.35013817147
A,26,11838.557092126897,21406.57083637247
A,27,56788.59854528168,52352.15686543912
A,28,19209.94137117634,48909.50838736726
A,29,27855.69493338037,36963.692418454884
A,30,19571.45947011659,615.30241484677
A,31,24613.44513373517,57220.33387085065
A,32,21688.842977003616,7807.889597234503
A,33,45576.17346855802,48797.12213210056
A,34,17798.361073592576,44843.07698896547
A,35,56467.2426755179,49180.064728009536
A,36,7653.808350213762,35653.04948117593
A,37,35959.72634326209,37822.24638328166
A,38,25806.301087073763,55620.94478160415
A,39,22687.905850274838,43006.38469661076
A,40,1566.9130794037,13270.712529770244
A,41,49962.051257653104,18013.31882626255
A,42,59285.84306809056,15494.778145738284
A,43,48740.11191310174,21910.772330032833
A,44,51640.363249257774,1194.3864241163137
A,45,10405.973518315574,24866.546000568444
A,46,30557.414896388564,11234.86270814515
A,47,28775.071917457637,54355.17641740531
A,48,19205.28733678798,27520.338126887928
A,49,25494.228948118827,6966.91493688959
A,50,34172.42084672815,20769.85697478644
A,51,4623.66924794727,30742.738308066913
A,52,39509.98832663445,35229.12408581174
A,53,40685.28714192593,35048.92451107642
A,54,33748.45978729607,49079.48124991724
A,55,39832.30600287406,28969.615900375466
A,56,17306.996864723627,41708.048477383294
A,57,46041.58030672631,45035.577319078504
A,58,20898.071348090467,13280.334495411205
A,59,33350.865939276606,52822.252321401276
A,60,15588.338018672488,38208.91827773538
A,61,31159.52281781725,26540.02930233313
A,62,52110.35434309652,52139.19506496448
A,63,52482.133179244935,2204.487979873173
A,64,50828.349334992476,11975.488310971565
A,65,34790.69611734127,23314.250767212605
A,66,4444.836822304767,30248.190081588094
A,67,39702.07851947315,29178.873771058432
A,68,43093.448903401695,8774.943157172194
A,69,51263.5630761675,47129.09289879227
A,70,45896.98361162918,22096.19520450446
A,71,42960.357460228035,8806.57115193535
A,72,24378.22553998113,48567.82292846565
A,73,50815.10030350372,21570.115647722494
A,74,11294.71222311492,36270.86788228588
A,75,34070.4143613317,48770.21698190754
A,76,3527.2135896619884,22050.741136476634
A,77,25941.718336680253,7233.57243157114
A,78,29585.273042159122,15025.650357365006
A,79,14798.558746044595,16764.11426050257
A,80,41101.744576347395,10806.278860767594
A,81,50878.836290785264,14806.910658663519
A,82,23371.908036513458,19446.154906486747
A,83,45261.392514227955,39636.13604503569
A,84,22551.238648190403,48794.44412175524
A,85,56318.505487508715,47518.16965770661
A,86,36559.62556536363,45450.27786403285
A,87,24240.962579333696,43265.71127927338
A,88,13048.308823833715,37920.04445789652
A,89,56474.43210258566,9438.647985234682
A,90,969.4836285478292,10856.434796220918
A,91,26027.005620660308,17162.269534276355
A,92,52347.07183253655,5410.370104287714
A,93,20603.798268579114,31123.22571747654
A,94,27780.758920309276,48754.282595607154
A,95,33395.6831582692,2768.5272505365388
A,96,3024.0130730085757,5737.557677178278
A,97,36095.23837791596,39072.69089990514
A,98,44660.36050003251,57412.311476162984
A,99,21334.14905508388,19452.96789567176
A,100,20460.80708346847,4819.9955517211765
